名稱,英文名稱,學名,原產地,棲息環境,體長,適溫,敘述,建議食材1,建議食材2,建議食材3
蘇卡達象龜,Sulcata tortoise (African Spurred tortoise),  Centrochelys sulcata,   非洲大陸撒哈拉沙漠南端至紅海間各國.,   乾燥砂礫及莽原地帶.,   背甲60-75公分.,"   攝氏22-31度,可忍受至40度高溫.","蘇卡達象龜是世界上最大的大陸型陸龜.由於民國100年才開放合法進口,已經成為目前台灣最 炙手可熱的陸龜之一.雖然合法個體售價較高,但是合法物種畢竟不用在運送過程中多次轉口,耗費時日與體力,所以健康狀況都比從前走私個體好得多.
　
而蘇卡達象龜在幼龜時期就是體健力強,如果不考慮價格因素,倒是很適合新手入門飼養.但是養蘇卡達必須考慮空間問題,因為牠們生長迅速,一年大一倍是很平常的事. 對喜歡大龜的人來說 也是很理想的龜種.美國每年可繁殖出四十萬隻以上的蘇卡達供應國內外寵物市場,可見其廣受歡迎的程度.相對的,在原產地的野生蘇卡達數量可能只剩下2,000隻左右.已接近滅絕.目前蘇卡達已經被CITES列入零配額龜種,也就是說,蘇卡達野生個體已經無法合法輸出.童時在非洲塞內加爾 也成立人工復育中心,大量復育蘇卡達野放.
　
蘇卡達生活在沙漠邊緣地帶,有時終年不下雨,所以牠們很耐旱.通常都會挖地洞躲避酷熱和尋找濕氣.也經常把 沙
土撥到背上以降低體溫.當溫度超過四十度就會分泌大量唾液並抹在身上也是降低體溫.牠們很活潑也不怕生,進
入新環境可以立刻進食,適應力良好.只是需要較大的空間供牠們四處游走.基本上每隻龜都至少要有身長五倍以
上的空間才足夠.蘇卡達屬於沙漠型陸龜,所以需要大量的日照,夏天即使養在室外,如果無法接受到陽光照射,最好也要開保溫燈.只是開燈時間可以比冬天短一點.
　
飼養陸龜的原則是,適量餵食,食物越粗糙越好.牧草野草比蔬菜更適合,生長越慢越好.否則容易引起 消化道的問題.人工飼養的蘇卡達背甲多半會有隆背現象,但隨著成長會慢慢變為平緩.但如果動物性蛋白質攝取過多或生長過快都會造成背甲過度隆起如金字塔型,不但不美觀更會造成肝,腎臟負擔過重而產生病變.一般陸龜行動遲緩,新陳代謝及血液循環都很慢,過度餵食或成長 過快都會加快生理作用,長期下來一定會導至器官病變.尤其蘇卡達堪稱大胃王,對任何青菜或飼料一律狼吞虎嚥,所以必須注意節制.特別是在群養的時候更要注意個別進食量.
　
蘇卡達的雌雄辨別在成年前較困難,因為牠們尾部的差異不大,腹甲也未明顯凹陷,在幼龜期的判別準確度較低.而
蘇卡達要養到成年,至少需要七至八年時間.在野生環境下更需長達十年以上. 交配後雌龜會生下15-30顆以上的蛋,
每年約生產兩次,與豹龜一樣都可以算是多產的陸龜.也因此成為陸龜市場的主幹.",1,2,3
豹 龜,Leopard tortoise,Stigmochelys pardalis,非洲大陸東部及南部各國,乾燥莽原地帶,背甲40-60公分,攝氏22-30度,"
豹龜在非洲南部分佈很廣泛,族群也很多.而且還有兩個亞種.事實上在原產地並未達瀕臨絕種的地步.幼龜的花紋與成龜大不相同.但是都很美麗. 在美國也是入門龜種.而在台灣卻比較難養,特別是5公分以下的幼龜.死亡率不下於星龜.主要可能與豹龜的高纖食物與環境乾燥度有關.
　
兩個亞種分別是東部豹龜S.p. babcocki,和西部豹龜S.p. pardalis.東部豹龜分佈最廣,遍及整個非洲東部由蘇丹一直向南延伸到南非;而西部豹龜就只分佈在南非境內的西部地區和納密比亞南部.一般人直接以東非豹與西非豹來稱呼是有點失真的.兩者的區別在幼龜比較容易,東部豹龜背甲上每個甲塊中只有一個黑點或沒有黑點,而西非豹龜的甲塊中則有兩點以上的黑點.至於成龜就比較難分辨,主要要看背甲的高低.東部豹龜的背甲長度通常是高度的兩倍;而西部豹龜的背甲長度則是高度的兩倍半,換句話說就是龜背甲比較高聳而西非豹龜背甲比較低緩.
　
根據近年的實地研究,東非豹龜其實應該還有一個亞種尚未被正式命名,牠的體型相當巨大,可以長到80公分以上,比一般豹龜大上一倍,甚至比蘇卡達還要大,國外稱為索馬利亞巨人豹龜(Giant Somalia Leopard Tortoise).也有人說是蘇豹雜交的個體,在外形上看來還真的很像.蘇卡達的底色加上不很明顯的豹斑,或許是真的雜交個體.只是目前尚無法證實,只能證實族群很大,應該是一個固定的種類,但還需要經過學術上的確認.
　
豹龜和牛羊一樣是以啃食雜草為主,因此比其它陸龜更需要高纖維食物,如果只餵食一般蔬果,豹龜的糞便會較為濕 軟,相對味道也較重,長久下來容易出現腸胃問題而拒食致死. 所以必須多供應野草,牧草等草料.一些老手多半餵食仙人掌,也是很理想的食物.
　
在美國,豹龜多養在庭院中以雜草為食,飼養情況大都良好,死亡率低且繁殖率高.另外就是濕度的問題,豹龜需要極其乾燥的環境,台灣過高的濕度對豹龜的呼吸道而言是一種異常的狀況,很容易引起感染或是過敏,表現出來的徵狀就是流鼻水和拒食.所以最好飼養10公分以上的個體 適應力比較強也比較容易進行治療.
　
非洲龜類都需要大量日照,所以儘可能養在室外,但要提供遮陰處所及飲水. 豹龜的雌雄辨別在幼龜時也不很明顯.需長到20公分以上比較能確定.因為這種尺寸已算成年. 一般而言,象龜科的陸龜雄性都大於雌性.雌龜也能產下10-30顆蛋,孵化期90-150天不等.依孵育的溫度和環境而定.幼龜需5-8年才能長成.台灣目前尚未有繁殖的記錄.因為能養到成年的豹龜實在並不多見.現在開放合法進口之後,應該很快就有機會見到繁殖成功的消息.",1,2,3
餅乾龜,Pancake  tortoise,Malacochersus tornieri,非洲大陸東部的肯亞及坦尚尼亞.,沙漠邊緣多岩石山坡地帶.,背甲15-18公分.,攝氏24-30度.可忍受12度低溫,"不論從外型或是個性上來看,餅乾龜都不像陸龜.龜殼扁平有如被踩過一樣,受驚時也不像一般陸龜縮入殼中,而是拼命逃入縫隙中躲藏.在陸龜中牠們算是異數. 餅乾龜是所有陸龜中行動最敏捷的也是最會攀岩的高手.在原產地牠們可以輕易爬上懸崖峭壁.飼養這種陸龜的場所一定要注意防逃措施.
　
即使是成龜,餅乾龜的外殼仍然保持與幼龜同樣的柔軟和彈性.所以 牠們可以擠進比身體小的縫隙,然後撐起外殼上下頂住,任何動物都無法將牠們拉出來.在飼養場所也必須準備岩塊堆供牠們攀爬躲藏.
　
餅乾龜也算是比較好養也比較容易繁殖的陸龜,但是幼龜較易受迫拒食.為完全草食性,除雨季外很少有水喝,所以牠們的水份主要來自食物.雌龜每次只下一個蛋,但在3-4個月間可以下多次蛋.受精機率較低.目前肯亞已 經禁止輸出,坦尚尼亞也嚴加管制,所以近年來已有專業養殖者出現.現在一般市面上見到的幾乎都是野生個體為主.在產地收購價一隻只合台幣20元不到.產地蒐集的餅乾龜 通常要等上2-3個月才會出口,所以野生龜類剛進口時狀況都比較差,死亡率也很高.比較容易出現暴斃的現象.購買時須仔細檢查,以免遭受損失.
　
雌雄的辨別很容易,雄龜尾巴粗大,雌龜尾巴短小.台灣多年以前就有繁殖成功的紀錄,那可能也是台灣最早的陸龜繁殖紀錄.",1,2,3
荷葉陸龜 ,Home's Hingeback tortoise,Kinixys homeana,非洲大陸西部各國.,熱帶雨林地帶.,腹甲15-20公分.,攝氏24-27度.,"摺背龜屬總共分為六個種類,最常見的就是荷葉陸龜(K. homeana)和鐘紋陸龜(K. belliana),其他還有鋸齒摺背龜(K. erosa),,壘包陸龜 (K. natalensis).還有較為少見的K.  lobatsiana與K. speki. 全部棲息在非洲大陸,本屬共同的特徵就是
在背甲後半部 都有關節可以摺合.在所有龜類來說都是很獨特的.摺背龜中以鐘紋陸龜的分佈最廣和數量也最大.算是摺背龜的代表龜種.體型和體色 雖然都不相同.因為並不出色,所以在台灣數量較少.
　
早期進口的摺背龜當然是以鐘紋陸龜為大宗,也有繁殖出仔龜的記錄.但是在陸龜開放後,鐘紋陸龜因為和蘇卡達,豹龜一樣扁蝨寄生蟲較多,而未列入開放的名單,導致目前市面上見到的摺背龜反而是以荷葉陸龜為主.荷葉陸龜與鋸齒摺背龜外型十分類似,很容易誤認,最大的分別就 在於荷葉陸龜的背甲末端是呈現九十度的 直角下
削,而鋸齒摺背則是平緩的圓弧狀,稍加注意並不難分辨.
　
荷葉陸龜雖然是陸龜,但是在環境與食性上卻與其他非洲陸龜大不相同,比較類似紅腿的習性,是標準的雜食性陸龜,蛋白質食物的需求比較高,舉凡蔬菜,水果,野草,蝸牛,甲蟲等都是照吃不誤.應該以水果為主食.牠們同時也需要非常高的濕度,至少要有80-90%.最好早晚洒水.水盆是不能少的要件.荷葉陸龜生性膽怯,很容易受迫而 拒食,尤其是剛進口的新龜.台灣進口的個體多半是野生成體,但是仍然大多難逃拒食致死的命運.基本上摺背龜都不適合初學者飼養,屬於難度較高的龜種.
　
雖然荷葉陸龜分佈在非洲,可是牠們卻不喜歡太強的光線,飼養場所需有較大面積的遮陰處.摺背龜 絕大多數是由野外採集而來,很容易感染體內外寄生蟲,驅蟲工作必須要做好.只要 荷葉陸龜能夠適應新的環境,要繁殖及孵育牠們並不是困難的事.
　
雌雄的辨別仍然以尾巴為主,粗大的是雄龜,尾巴細小的是雌龜.雌龜通常每胎可以產2-4顆蛋,一年可以產卵2-3次,在30度的溫度下孵育110-130天可以孵化.",1,2,3
幾何星叢龜,Geometric tortoise,Psammobates geometricus,"南非, 西南非",乾燥沙質莽原地區.,背甲15-24公分.,攝氏18-30度.,"星叢龜是極少數幾種CITES I 保育類的陸龜.共有三個種類以及三個亞種:
　
幾何星叢龜 Geometric Tortoise (Psammobates geometricus)
鋸緣星叢龜 Serrated Tortoise       (Psammobates oculifera)
帳篷星叢龜 Tent Tortoise             (Psammobates tentorius) 有三個亞種P.t. tentorius, P. t. verroxii, P.t. trimeni.
　
三種都有略為不同的星狀花紋,和印度星龜十分神似,只是體型比較嬌小.台灣也有人稱之為非洲星龜.
　
其中數量最少,分佈區域也完全集中在南非的自然保護區中的就是幾何星叢龜.所以只有這種被列為一級保育.牠們的背甲邊緣沒有鋸齒狀凸出,可以和其他兩種區分開,其他兩種分佈區域比較廣大,可以達到西南非.近年來南非保育人士已經開始研究幾何星叢龜的生活狀態,在龜甲上植入無線發信器以追蹤牠們的蹤跡.
　
星叢龜都只能適應溫暖乾燥的環境,如果暴露在潮濕的環境中,很容易感染呼吸道疾病,這一點與印度星龜也類似,同時龜甲也容易感染爛殼症,底材最好使用乾燥的沙質底材,在人工飼養下,星叢龜很難活過一年以上,屬於難度很高的龜種,溼度的控制最為重要.其中只有帳篷星叢龜比較能夠適應人工環境,牠們在野外依賴粗草及沙漠植物為生,所以在人工環境中的食物以較粗糙的葉菜或野草為主,加上小黃瓜,蘿蔔,番茄,南瓜等瓜果類.在溫度過低時,星叢龜會冬眠,但在過高的氣溫下,牠們也會夏眠,不吃不動.由於南非地處南半球,所以龜龜冬眠的時節反而是台灣的夏天.這種時差可能也是星叢龜不易適應的原因之一.
　
雄龜腹甲凹陷,尾部粗大,雌龜每窩可產下12-15顆蛋,十分多產,幼龜大約3公分長.幾何星叢龜是三種星叢龜中體型最大的,可以達到20公分以上,其他兩種都不超過15公分.而帳棚星叢龜因為花紋變異大,因此又可以分出三個亞種.十分容易混淆.不過在寵物市場上因 根本難以見到,所以也沒有這方面的顧慮.",1,2,3
鸚嘴龜,Parrot-beaked tortoise (Common Padloper tortoise),  homopus areolatus,   南非,   多岩沙漠地帶.,   背甲9-12公分.,   攝氏15-30度.,"鸚嘴龜是所有陸龜當中體型最小的一種.甚至比餅乾龜還要小上一號.不過習性卻與餅乾龜十分類似,牠們平常都在多岩石的區域活動,只要受到驚嚇就立刻躲入岩石縫中,或是岩石底下.鸚嘴龜屬(Homopus)共有五個種類,分別是:
　
普通鸚嘴龜 Homopus  areolatus
斑點鸚嘴龜 Homopus signatus signatus / -- 細點鸚嘴龜Homopus signatus cafer
卡魯鸚嘴龜 Homopus boulengeri
伯格鸚嘴龜 Homopus bergeri
大鸚嘴龜     Homopus femoralis
　
其中只有斑點鸚嘴龜有一個亞種細點鸚嘴龜(H. signatus cafer).這五種鷹嘴龜全部都分佈在南非的角省,可以想見棲地一定很狹小.也是南非的特有龜種.在寵物市場上鸚嘴龜數量極少,又以普通鸚嘴龜比較常見,其次就是斑點鸚嘴龜.這兩個種類也是比較能夠適應人工環境的種類.其他三種都幾乎未曾出現過,也幾乎無法在人工環境下 存活.
　
鸚嘴龜對於食物的需求十分特殊,除了原生地的特殊耐旱植物以外,很難適應人工環境下的一般蔬果食物,所以在食物的選擇上會很棘手,最好以仙人掌類的食物為主食,小黃瓜是替代食物,其他食物如胡蘿蔔,南瓜,葉菜類等就必須一樣一樣試,找出牠們比較喜歡的食物,否則要養好鸚嘴龜是十分困難的.牠們十分耐乾旱,因此飼養的環境必須保持非常乾燥.底材以乾燥爬蟲沙或 赤玉土為主.要多佈置岩塊供牠們棲息.還要放置水盆供飲用,此外飼養缸要注意蓋好,鸚嘴龜也是爬牆高手,身手矯健,很善於脫逃.
　
雌雄辨別並不困難,雄龜尾巴粗長,雌龜則圓短.特別的是普通鸚嘴龜的鼻尖在繁殖期會變紅,下巴也會略帶紅色.雌龜每年產卵一次,每次產卵1顆,在28-30度之間約115天孵化,時間較一般龜種長很多.初生幼龜大約長3 公分.基本上鸚嘴龜的飼養難度很高,尤其是幼龜,只適合老手飼養,但是死亡率還是很高.所以要購買這種高價龜種,最好三思而後行.",1,2,3
埃及陸龜,Egyptian tortoise,   Testudo kleimanni,"    埃及和利比亞,以色列",    沙漠地帶,    背甲12-15公分,    攝氏17-24度,"埃及陸龜 也屬於地中海陸龜家族成員之一,也可以算是家族中最脆弱,飼養難度也最高的種類.在環境或飲食上的些微改變都可能造成受迫死亡.對病菌抵抗力更差,因此 最好不要與其他龜類混養.專家們對這個種類也所知有限.直到近幾年才逐漸有專業的研究計劃在進行中.在2001年間,分佈於以色列南部納吉夫地區的埃及陸龜被獨立出來成為一個新品種,也就是納吉夫陸龜Negev Tortoise(Testudo werneri),牠們的腹甲並沒有埃及陸龜所擁有的兩個三角形黑斑.目前這兩種都屬於CITES I級保育類動物.
　
由於生活在地中海氣候區,牠們比較適應乾燥涼爽的環境.若氣溫超過攝氏30°,活動力就會降低.在冬季很活躍,
在夏季溫度超過30°可能會進入夏眠狀態.埃及陸龜主要以野草(如百慕達草)與落花為食物.所以儘可能餵食高纖維草料及木槿花等.不可餵食動物性食物 或餵食過量.有許多養殖計劃都因為餵食過量而失敗.值得注意.
　
在台灣夏天高溫的情況下並不適合飼養埃及陸龜.除非有降溫的環境,冬天氣溫15°以上不用保溫設備會更適合牠們.雌龜通常大於雄龜,交配時雌雄龜同時會發出很大的低吼聲,十分特別.雌龜每次可以產下1-3顆蛋.在30-31°間約8-9週可以孵化.
　
埃及陸龜在台灣 十分少見所以售價甚至高於幅射龜數倍,以這種迷你龜種而言,可算是身價不凡.但是,在埃及
首都開羅的市場上,有整籮筐的埃及陸龜叫賣,幼龜每隻只賣5埃及鎊,也就是合台幣50元.確實讓保育人士嘆息不已.有趣的是,開羅美國學校為了教導保育觀念,在教室頂樓養了150餘隻埃及陸龜,每位八年級生都必須照顧一隻.正是最好的生物教材.",1,2,3
挺胸龜,Angulate (Bowsprit) tortoise ,  Chersina angulata,   南非及那米比亞南部,   海岸草原地帶,   背甲13-20公分,   攝氏22-30度,"挺胸龜在陸龜中是屬於中小體型的龜種,因雄龜胸甲特別的突出而得名.這 種胸甲是專門用來在繁殖期與其他雄龜爭奪雌龜的武器.可以用來將對手掀翻.雄龜有很強的領域性.而且一般都比雌龜大.所以最好不要將兩隻以上的雄龜養在一起.被掀翻的雄龜很難再翻身,時間過長會造成脫水及呼吸困難而死.同時這種龜也很 膽怯,比較容易受驚.在飼養時要盡量避免無謂的抓取.適應期也很長.至少需要2-3個月的時間才能習慣人工的環境和人類的接觸.
　
挺胸龜在日本很受歡迎,但是因為個體數量稀少,因此單價極高,台灣近年有幾隻不錯的個體進口,單價都在六位數,所以有能力又有意願飼養的人非常有限.這些個體雖然飼養難度不算高,但是還是需要小心照顧,因為飼養條件還不是很明確.之前進口的個體現在恐怕已所剩無幾.最近直接由南非進口不少的幼龜,價格因此也下降很多.
　
比較特殊的是牠們喝水是經由鼻腔而不是口腔.牠們也需要很乾燥的環境,否則龜甲很容易因細菌感染而腐爛.需經常檢查龜甲是否完整.挺胸龜的食性與豹龜很相似.是完全素食的.對蔬果的接受度頗高.
　
在2000年1月間,南非西岸國家公園(West Coast National Park)及附近地區發生森林大火,據推算有100,000-280,000隻
挺胸龜被燒死.這對南非的龜類保育來說是一大打擊.也重創了挺胸龜的野生族群.
　
在繁殖期中,雄龜會咬雌龜的後腳,雌龜通常在八月間產卵,每窩只產一顆蛋,偶而會產兩顆.在野外的孵化期較長,
通常在180天以上.人工孵化的話時間會比較短.但到目前為止,還沒有人工繁殖的個體出現.而現行CITES II保育類而言,每年都可以有少量的配額野生個體由南非出口至世界各地.",1,2,3
加拉巴哥象龜,Galapacos tortoise,  Geochelone nigra,   厄瓜多爾的加拉巴哥群島,   灌木草原地帶,   背甲60-125公分.,   攝氏22-30度.,"加拉巴哥群島因為達爾文的進化論研究而聞名.共由十四個火山島組成.每個島上的加拉巴哥象龜都自成一個亞種,所以牠們的亞種也有十四種,每種的外型都不大一樣.但有四種左右的亞種早已在十九世紀絕種,還有一個產於Pinta島的亞種全世界只剩最後一隻,也就是著名的""孤獨喬治""(lonesome George).達爾文中心 為他安排鄰近島嶼的雌龜與牠交配,但牠的生殖能力似乎已經退化,一直未交配成功.所以除非有預算用複製DNA的方式,否則喬治將註定孤獨一生.牠被飼養在Santa Cruz島上的達爾文研究中心直到2012年6月24日死亡為止.1959年起,加拉巴哥群島已由厄瓜多爾政府劃定為國家公園開放觀光.
　
成年的加拉巴哥雄龜體長可以超過120公分,體重超過250公斤.雌龜體型較小,大都在60公分至100公分之間.要養到20年以上才能成年.牠們以各種高纖維植物為食,壽命極長,可以超過百年.每到夏季,牠們便移往山頂避暑,到雨季時又回到 山腳平地區.
　
台灣目前已經出現加拉巴哥幼龜的蹤影,價格當然也是六位數.但是多數是亞達伯拉象龜或雜交龜所冒充,木柵動物園倒是有幾隻成龜.牠們是CITES一級保育類動物.其實以牠們的體積而言,並不適合當做寵物飼養.美國地廣人稀,在佛羅里達州有小量養殖.所以幼體在美國是不難見到的.
",1,2,3
亞達伯拉象龜,Aldabra tortoise,  Geochelone gigantea,   亞達伯拉群島,   草原灌木林沼澤地帶,   背甲90-130公分.,   攝氏24-32度.,"                                                                            
亞達伯拉象龜原生於印度洋的亞達伯拉群島,此群島由四個珊瑚環礁小島組成,位於非洲東岸馬達加斯加島的北方.這個區域曾經分佈有18種象龜,但在18-19世紀間大量滅絕而只剩下唯一的亞達伯拉種.這也是第一隻受國際保護的陸龜.目前是CITES II級保育類,也是世界上最大最長壽的陸龜.目前在群島中的聖母島(Assumption)上有一個人工移入的族群已成為觀光景點.
　
亞 達伯拉很能適應人工養殖的環境,食物與豹龜,蘇卡達類似,任何植物類食物都能接受,個性溫和.但是飼養這種龐然大物一定要有足夠的空間規劃.一般來說,飼主在個體大於30公分的時候,就常常因空間無法容納而必需被迫放棄,也是十分可惜的事.在氣溫高時牠們很喜歡浸泡在水窪或沼澤中降溫,所以水池也是不能缺少的設施.
　
雄龜可長到130公分以上,重達250公斤,只有用吊車才能移動牠.雌龜較小約90公分,這種體積的動物排 泄量也是大的驚人.兩性分開飼養,繁殖的效果會比較好.雌龜可產下9-25顆網球般大的蛋,約98-200天孵化.,體健好養可以忍受攝氏15°以下低溫.
　
台灣近年也有少量引進幼龜,自從陸龜開放後,合法的幼體和成體都已經陸續進入國內,在國內算是很受歡迎的常青龜種,.",1,2,3
